N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
5,15,10,25,7839.7994,31.1,8.549879733383484,0.3419951893353394,0.0,0.19999999999999996,195.99498499999999,194.21626047290903,1.778724527090958,1.4285714285714286,4.155180199999961,16.86899059999999,13.024094699999978,31.23481620000001
3,14,11,25,8101.3979,1.2,8.549879733383484,0.3419951893353394,0.0,0.12,202.53494750000002,202.41040802316348,0.12453947683653155,2.0,9.011230700000027,10.695142699999991,15.97059470000002,27.221019400000017
1,13,12,25,8223.5028,0.0,8.549879733383484,0.3419951893353394,0.0,0.040000000000000036,205.58757,206.2958505826623,-0.7082805826622973,2.2222222222222223,7.330522799999983,12.063853200000011,23.8617433,22.61667969999999
-1,12,13,25,8021.1366,0.0,8.549879733383484,0.3419951893353394,0.0,-0.040000000000000036,200.528415,200.94005205377437,-0.41163705377437054,2.2222222222222223,16.93848059999999,2.271367799999979,31.806682499999994,13.9640622
-3,11,14,25,7480.1109,10.7,8.549879733383484,0.3419951893353394,0.0,-0.1200000000000001,187.0027725,186.34193259807233,0.660839901927659,2.0,14.989182899999975,3.4128380999999877,,5.276945799999993
8,17,9,26,7082.2497,114.8,8.776382955329126,0.33755319058958183,-1.0,0.3076923076923077,184.1384922,183.22066857826402,0.9178236217359768,0.75,0.7308296999999868,,5.0124978000000056,
6,16,10,26,7751.911,19.7,8.776382955329126,0.33755319058958183,1.0,0.23076923076923073,201.54968599999998,200.60925374811373,0.94043225188625,1.3333333333333333,5.554700999999994,18.142023499999965,9.709881199999955,
4,15,11,26,8004.2013,3.7,8.776382955329126,0.33755319058958183,-1.0,0.15384615384615385,208.1092338,206.99422308635454,1.1150107136454608,1.875,5.574286299999983,12.114248800000013,14.58551700000001,28.983239400000002
2,14,12,26,8333.8711,0.0,8.776382955329126,0.33755319058958183,1.0,0.07692307692307687,216.6806486,216.79203014559383,-0.11138154559381519,2.4,11.093078600000013,14.145701099999997,18.423601399999995,24.840843799999988
0,13,13,26,8149.7653,0.0,8.776382955329126,0.33755319058958183,-1.0,0.0,211.89389780000002,212.14624385191271,-0.25234605191269566,2.5,11.365482800000024,6.30632780000002,28.303963400000015,18.37018100000003
-2,12,14,26,7924.7083,0.1,8.776382955329126,0.33755319058958183,1.0,-0.07692307692307687,206.04241580000001,205.75633643735387,0.28607936264614864,2.4,19.039643300000023,5.514000800000019,34.0288262,7.785368599999998
9,18,9,27,6879.6662,129.0,8.999999999999998,0.33333333333333337,0.0,0.33333333333333337,185.75098739999999,186.7899795256025,-1.0389921256025048,0.6666666666666666,1.6124951999999837,,2.3433248999999705,
7,17,10,27,7520.4151,97.4,8.999999999999998,0.33333333333333337,0.0,0.2592592592592593,203.0512077,202.96868298411465,0.08252471588534149,1.2,1.501521700000012,18.91271549999999,7.056222700000006,
5,16,11,27,7956.9467,4.0,8.999999999999998,0.33333333333333337,0.0,0.18518518518518523,214.8375609,214.11597190852873,0.7215889914712648,1.7142857142857142,6.728327100000001,13.28787490000002,12.302613399999984,31.429898399999985
3,15,12,27,8263.8525,0.0,8.999999999999998,0.33333333333333337,0.0,0.11111111111111116,223.1240175,222.05460310934444,1.0694143906555666,2.2222222222222223,6.443368899999996,15.01478370000001,17.53644750000001,27.129032500000022
1,14,13,27,8331.5533,0.0,8.999999999999998,0.33333333333333337,0.0,0.03703703703703709,224.95193909999998,224.7852799574578,0.16665914254218706,2.727272727272727,13.058041299999957,8.271290499999964,24.42352409999998,22.41699159999996
-1,13,14,27,8124.342,0.1,8.999999999999998,0.33333333333333337,0.0,-0.03703703703703698,219.357234,219.10769685010908,0.24953714989092646,2.727272727272727,13.31481819999999,7.463336199999986,32.35446150000001,13.769664000000006
-3,12,15,27,7661.0894,9.6,8.999999999999998,0.33333333333333337,0.0,-0.11111111111111116,206.8494138,205.02092847302768,1.8284853269723271,2.2222222222222223,,0.806997999999993,,6.320998800000012
